Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2021-01-04,85.59902954101562,87.402120207572,84.65731177627322,87.27864427300177,37324000
2021-01-05,86.28931427001953,86.62553228807558,85.14130146810675,85.54744478278593,20360000
2021-01-06,85.43785858154297,86.48371900443895,84.10983770465201,84.31613287098162,46588000
2021-01-07,87.9897689819336,88.16233866820387,85.63026481011545,85.63026481011545,41936000
2021-01-08,89.15463256835938,89.23050541250267,87.3391324437346,88.12960383731487,35484000
2021-01-11,87.09465789794922,88.48764764784643,86.88886216525205,88.1226604372479,34796000
2021-01-12,86.15939331054688,87.67040339276643,85.11552300350571,86.55264274953645,29528000
2021-01-13,86.64636993408203,87.09962451285838,85.65803281300867,85.65803281300867,23432000
2021-01-14,85.83656311035156,87.65305472805,85.59605062771794,86.72670521887984,29212000
2021-01-15,85.67290496826172,86.66470765909816,84.88393179958005,85.74233085394611,31444000
2021-01-19,88.49211883544922,89.45267807678509,85.93128331929772,86.43561418775866,41660000
2021-01-20,93.23292541503906,94.20736973532452,90.22974701111279,90.5699300649502,64152000
2021-01-21,93.43526458740234,95.81211977776022,93.20020779390293,93.90637699930275,58634000
2021-01-22,93.8523178100586,94.4389685259167,93.05589873468317,93.79776835100945,32744000
2021-01-25,93.93760681152344,95.3033257370761,92.19600437288214,94.85304490741599,50586000
2021-01-26,94.61550903320312,95.00231152937288,93.03755491647793,93.52650995574975,31462000
2021-01-27,90.20148468017578,93.2527658262995,89.12736210402838,92.97704477868687,82512000
2021-01-28,91.90045928955078,93.62569478452592,90.79955747785893,90.79955747785893,55278000
2021-01-29,90.61903381347656,91.61976549487935,89.33961486968028,90.94930432506192,44530000
2021-02-01,93.87760162353516,94.9918890070294,91.47346827211754,91.47346827211754,40252000
2021-02-02,95.16941833496094,96.6695168475592,94.53713959231696,94.87237391938353,66332000
2021-02-03,102.10015869140625,104.4675932593003,99.85223504202864,102.43390242776726,97882000
2021-02-04,101.83979797363281,102.61686853209841,100.92088672711886,102.18642801251289,48596000
2021-02-05,103.58536529541016,103.9379504485251,101.6597824251192,102.13386099437315,29866000
2021-02-08,103.37163543701172,104.8831449457621,102.32181757236562,104.13929285394818,28828000
2021-02-09,102.91888427734375,104.06540659089865,102.6515926888036,102.88962324878285,21892000
2021-02-10,103.46882629394531,104.08374671519705,101.77086200517664,103.30319541840504,25102000
2021-02-11,103.58139038085938,103.84173555256167,102.5950434217079,103.69297120693396,20480000
2021-02-12,103.89283752441406,104.11450097821873,102.82862745386913,103.13609147784828,18990000
2021-02-16,104.66990661621094,106.37779106891139,103.73017139399565,103.73017139399565,31004000
2021-02-17,105.06266784667969,105.25210406830482,103.56157779925294,103.84076449120744,20294000
2021-02-18,104.42740631103516,105.22978044150346,103.8085208383096,104.38724144669854,22546000
2021-02-19,103.58438110351562,105.06068208751414,103.31758892872503,104.52560706749125,37938000
2021-02-22,101.87104034423828,103.16386022134958,101.5606101179122,101.83831369636844,29466000
2021-02-23,102.16163635253906,102.77556555705189,98.69578224116515,99.87404748325243,34658000
2021-02-24,103.33641815185547,103.56007165959284,100.54548993925555,100.66995712296065,22608000
2021-02-25,99.97122955322266,103.29624888975523,99.50210731725423,101.95384362185172,41548000
2021-02-26,100.26679992675781,101.98311399374562,99.23036778781363,100.6655050872536,40042000
2021-03-01,102.63472747802734,102.96053353696968,100.88716997270484,101.5606048992847,26060000
2021-03-02,102.37785339355469,103.87845154552576,101.99055905326092,102.39570360453789,25564000
2021-03-03,99.74610900878906,102.94863663130721,98.88273841636625,101.7564937545508,33892000
2021-03-04,100.86287689208984,102.87920915491242,99.44955486444132,99.91768591072356,49216000
2021-03-05,103.99398803710938,104.44674319929116,100.55788705118852,102.21271269276662,53100000
2021-03-08,99.55220794677734,104.82066100973701,99.43765332889343,103.34883204318703,36868000
2021-03-09,101.18173217773438,102.35007722648686,100.94568414890182,101.6473888421462,33920000
2021-03-10,100.97494506835938,102.2251105144304,100.13885303854282,102.2251105144304,27100000
2021-03-11,104.16606903076172,104.69817024362116,101.97964153853603,102.06741705146506,27702000
2021-03-12,101.65977478027344,103.0289591680474,100.78798240311897,102.96945342859367,33818000
2021-03-15,101.87995910644531,101.90723004915033,100.5583853117007,101.41083684371416,26168000
2021-03-16,103.34039306640625,104.81767759960309,102.12047238189682,102.45272538765994,31900000
2021-03-17,103.25757598876953,104.0896954073164,101.36819296395524,102.57571159931345,26382000
2021-03-18,100.238525390625,102.58959237276454,100.13140900343207,101.56951989998234,31700000
2021-03-19,100.51721954345703,101.01708592464301,99.32556866080017,100.65458821260705,46072000
2021-03-22,100.70220184326172,101.57746751441745,99.87453925617409,100.55045613544077,33536000
2021-03-23,101.2298355102539,102.35949880770968,100.56880265494154,101.1614008768052,28510000
2021-03-24,100.79344940185547,102.53256990725708,100.61839021612809,101.74706227764077,25218000
2021-03-25,100.78997039794922,101.44356501016514,98.9863728269257,100.62086633670765,35616000
2021-03-26,100.40664672851562,101.1336323017579,99.37119832005897,100.75674996559889,27978000
2021-03-29,101.45101165771484,101.62061514543679,99.45054707058068,100.2792009272737,26492000
