Fast_Window,Slow_Window,Macro_Window,Total_Return_Pct,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
20,100,150,89.86,19.220118620940397,1.68,3.246597364251509,-4.90%
20,100,165,71.69,16.261993579232858,1.32,2.6058481856541267,-4.88%
20,100,180,59.22,14.09304413199408,1.06,2.239413816310943,-4.82%
20,100,195,51.22,12.664383362019539,0.91,2.009855472792798,-4.84%
20,100,210,51.15,12.883888377287,0.94,2.053993533149055,-5.05%
20,100,225,49.76,12.815655580282925,0.94,2.051473392567217,-5.14%
20,100,240,48.56,12.785912353854023,0.93,2.0250184070590276,-5.23%
20,110,150,96.07,20.276943303906634,1.8,3.389018281691712,-4.67%
20,110,165,77.36,17.319789115815844,1.43,2.742265010709882,-4.73%
20,110,180,64.12,15.077564991675029,1.17,2.365646448763244,-4.62%
20,110,195,54.99,13.467155605201707,0.99,2.1070267577247312,-4.83%
20,110,210,54.38,13.586284066575761,1.02,2.1250458464038915,-5.09%
20,110,225,52.63,13.45688923135695,1.01,2.126344988233026,-5.27%
20,110,240,50.37,13.201865920498236,0.98,2.064850595897225,-5.36%
20,120,150,100.67,21.04421693939731,1.88,3.4876309236386187,-4.68%
20,120,165,81.49,18.075027043717974,1.51,2.8428499544162205,-4.78%
20,120,180,67.79,15.80124213247549,1.25,2.461886905156547,-4.56%
20,120,195,57.78,14.052346299659547,1.05,2.1811771754618787,-4.95%
20,120,210,56.54,14.050222944240032,1.06,2.1747567281696285,-5.09%
20,120,225,55.41,14.070000425071383,1.07,2.206924987901378,-5.20%
20,120,240,53.09,13.820441185374932,1.04,2.1472414335001617,-5.65%
20,130,150,102.59,21.360696426195446,1.92,3.56489929499315,-5.04%
20,130,165,83.83,18.49744678678156,1.56,2.929896942199563,-5.17%
20,130,180,70.18,16.266442292828053,1.3,2.550236194960934,-4.98%
20,130,195,59.25,14.357714750423778,1.09,2.2406369487711473,-5.07%
20,130,210,57.49,14.252838501846178,1.08,2.208366673189574,-5.15%
20,130,225,56.52,14.312655129708073,1.1,2.2613662887307684,-5.29%
20,130,240,54.15,14.059432243753411,1.07,2.194397504969881,-5.79%
20,140,150,103.77,21.55412080934309,1.95,3.621927641430441,-5.07%
20,140,165,85.49,18.794766397704766,1.6,2.994728575896949,-5.19%
20,140,180,72.12,16.64062227402696,1.34,2.6238668565806758,-5.03%
20,140,195,61.64,14.849943882976223,1.14,2.3290905366203303,-5.09%
20,140,210,59.87,14.756679054331666,1.14,2.3018196107784643,-5.23%
20,140,225,58.87,14.822428269138467,1.16,2.358950729645927,-5.41%
20,140,240,54.63,14.167278450235576,1.08,2.228331310630122,-5.92%
20,150,150,103.57,21.521394335583423,1.95,3.6344802542248025,-5.15%
20,150,165,85.8,18.850077083074623,1.6,3.0136489658637706,-5.26%
20,150,180,72.27,16.669427612203403,1.35,2.6393543210324673,-5.16%
20,150,195,61.58,14.8376502660573,1.14,2.3362865952671337,-5.21%
20,150,210,59.24,14.623828143339622,1.12,2.2940176006309745,-5.36%
20,150,225,57.89,14.610489296147943,1.13,2.3216746838215805,-5.41%
