Fast_Window,Slow_Window,Macro_Window,Total_Return_Pct,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
20,100,150,86.67,18.320408051419477,1.25,2.1315392026668243,-10.14%
20,100,165,77.03,16.934664221490504,1.12,1.9569064286486804,-10.29%
20,100,180,71.35,16.178493541096284,1.04,1.8638437294991332,-10.53%
20,100,195,66.17,15.464533955035309,0.97,1.7821282914604255,-10.87%
20,100,210,55.11,13.476063533574578,0.78,1.5480963622610695,-10.92%
20,100,225,50.07,12.631069349694869,0.7,1.4346052787683412,-10.84%
20,100,240,50.01,12.855680515895562,0.72,1.4412447089335083,-10.83%
20,110,150,87.66,18.489207009314445,1.28,2.1705791033586417,-10.15%
20,110,165,77.48,17.016007420689363,1.13,1.9894977132004892,-10.26%
20,110,180,71.6,16.225667805202892,1.05,1.8898234772286835,-10.51%
20,110,195,65.78,15.387738272334106,0.97,1.7918010649329108,-10.84%
20,110,210,54.2,13.28392808419887,0.77,1.5454390301160668,-10.92%
20,110,225,48.59,12.304445400979214,0.68,1.4170139253444962,-10.85%
20,110,240,47.59,12.309625417390425,0.68,1.398135107481352,-10.83%
20,120,150,90.94,19.043853545451395,1.34,2.2317303594370506,-10.21%
20,120,165,80.42,17.54379719612922,1.19,2.05349111600036,-10.41%
20,120,180,73.88,16.65362525213063,1.1,1.9460257862028671,-10.74%
20,120,195,68.37,15.895337189044279,1.02,1.8576437111636799,-11.04%
20,120,210,56.57,13.782654867241572,0.82,1.6074490930472372,-11.07%
20,120,225,51.05,12.846096119922311,0.73,1.4818586473174928,-11.00%
20,120,240,49.79,12.806295711004157,0.73,1.456999803705872,-10.98%
20,130,150,90.1,18.90247701749077,1.34,2.268652314307574,-10.62%
20,130,165,79.43,17.366774082369616,1.19,2.0872117607474285,-10.69%
20,130,180,73.45,16.573225099571196,1.11,1.9978143705306413,-10.99%
20,130,195,67.09,15.645182468006592,1.02,1.8865610215004391,-11.25%
20,130,210,54.77,13.404370812822375,0.8,1.610380068095469,-11.29%
20,130,225,49.12,12.421675332366267,0.7,1.4762599636810159,-11.21%
20,130,240,48.22,12.452381634017385,0.71,1.461165355476038,-11.17%
20,140,150,92.54,19.311890177715597,1.38,2.323391271134242,-10.36%
20,140,165,81.74,17.778734214934456,1.23,2.1424791314935865,-10.57%
20,140,180,75.11,16.882817756538813,1.14,2.040203026036791,-10.87%
20,140,195,68.73,15.965447474526307,1.05,1.9354729216299957,-11.07%
20,140,210,56.32,13.730301209297014,0.83,1.6584540680231825,-11.13%
20,140,225,50.31,12.683820543885837,0.73,1.5146607060386243,-10.98%
20,140,240,49.37,12.711874102174669,0.73,1.498800798365484,-10.95%
20,150,150,92.58,19.318570212575903,1.39,2.355088926825368,-10.26%
20,150,165,82.61,17.93290247787882,1.25,2.190117791443184,-10.44%
20,150,180,75.81,17.01273427545271,1.16,2.0860223402470344,-10.63%
20,150,195,69.44,16.10340685981111,1.07,1.980978682716823,-10.80%
20,150,210,56.5,13.76800184616178,0.84,1.6889823858050916,-10.86%
20,150,225,50.19,12.6574523961289,0.73,1.542203272804466,-10.69%
20,150,240,48.95,12.617265990860705,0.73,1.515866245676394,-10.67%
20,160,150,94.43,19.858401589619422,1.44,2.437587212899632,-10.09%
20,160,165,87.42,18.775766750899535,1.34,2.329197459830031,-10.24%
20,160,180,81.1,17.98265804660284,1.26,2.238160361058066,-10.44%
20,160,195,73.96,16.972104005428346,1.16,2.119392453038273,-10.59%
20,160,210,61.17,14.735510232217797,0.93,1.837455261122134,-10.63%
20,160,225,53.83,13.450750851730087,0.81,1.6664187792276135,-10.48%
20,160,240,52.46,13.402243305142658,0.81,1.6380325178268005,-10.46%
20,170,150,92.73,19.805800664071672,1.44,2.4354152644669544,-9.83%
20,170,165,87.73,18.94162456251727,1.36,2.3575793445187943,-9.92%
20,170,180,82.91,18.30982575420821,1.29,2.2917185924490617,-10.05%
20,170,195,75.84,17.32865867369442,1.2,2.175144518358515,-10.23%
20,170,210,62.86,15.080716181825249,0.97,1.8884737017545832,-10.26%
20,170,225,55.16,13.737298759080074,0.84,1.7073111874801263,-10.10%
20,170,240,53.29,13.586007039458782,0.83,1.6675784200456019,-10.07%
20,180,150,98.54,21.04216570496491,1.56,2.575143436688377,-9.75%
20,180,165,94.19,20.297789036797752,1.49,2.516788559289684,-9.76%
20,180,180,85.8,18.82740020197382,1.35,2.364337385129068,-9.89%
20,180,195,79.01,17.92373086747019,1.26,2.2562323817726595,-10.06%
20,180,210,64.96,15.506134633450387,1.02,1.949050385668612,-10.09%
20,180,225,57.28,14.19048287330138,0.89,1.7734381898893976,-9.95%
